Serial Number,List Year,Date Recorded,Town,Address,Assessed Value,Sale Amount,Sales Ratio,Sale Year,Sale Month,Sale Amount_Log,Sale Amount_Scaled,Is_Undervalued,Property Type_Commercial,Property Type_Condo,Property Type_Four Family,Property Type_Industrial,Property Type_Residential,Property Type_Single Family,Property Type_Three Family,Property Type_Two Family,Property Type_Unspecified,Property Type_Vacant Land,Residential Type_Four Family,Residential Type_Non-Residential,Residential Type_Single Family,Residential Type_Three Family,Residential Type_Two Family
11289,2001,2002-08-21,West Hartford,14 CROCKER AVE,62170.0,139000.0,0.447266187,2002,8,11.842236406331555,-0.5531980231478435,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
12687,2012,2013-08-02,Milford,9 COUNTRY LANE,285850.0,175000.0,1.633428571,2013,8,12.072546967175038,-0.3021002936707371,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
40325,2004,2005-07-28,Colchester,40 HIGHWOOD CIR,125100.0,279000.0,0.448387097,2005,7,12.53897064502647,0.20642144347378033,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
160800,2016,2017-06-26,Stratford,145 CAROL RD,124670.0,235000.0,0.530510638,2017,6,12.367345048436391,0.01930541429086518,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
140584,2014,2015-07-09,Hamden,297 DUNBAR HILL RD,126630.0,146500.0,0.864368601,2015,7,11.89478753335453,-0.49590378258585965,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
22002,2002,2003-06-05,Bridgeport,715 25 FRENCHTOWN RD,54250.0,130000.0,0.417307692,2003,6,11.775297421715825,-0.6261787279359988,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
41090,2004,2005-01-12,Bridgeport,804 6 CAPITOL AVE,137620.0,280000.0,0.4915,2005,1,12.54254845357358,0.21032217472723622,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
120092,2012,2013-04-08,Clinton,7 LINDERA LN,327100.0,440900.0,0.741891585,2013,4,12.996575639431459,0.7053285481747412,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
50444,2005,2006-01-30,Manchester,396 HACKMATACK ST,87600.0,229500.0,0.381699346,2006,1,12.343662665771719,-0.006514472100486496,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
30330,2003,2004-05-26,Guilford,380 SAW ML RD,188120.0,335000.0,0.561552239,2004,5,12.721888795877375,0.4058492603771776,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
17129,2017,2018-02-06,North Haven,26 TENNYSON AVE,164080.0,285000.0,0.575719298,2018,2,12.560247968016562,0.22961919642351916,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
100231,2010,2011-09-02,East Lyme,32 VILLAGE DR,624890.0,655000.0,0.954030534,2011,9,13.39239204133378,1.1368701997754,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
13401,2013,2014-05-30,East Hartford,147 HENDERSON DR.,103350.0,160000.0,0.6459375,2014,5,11.982935344196433,-0.3998000039327339,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
60138,2006,2007-01-26,Simsbury,51 MUNNISUNK DR,140250.0,299900.0,0.467655885,2007,1,12.611207699176356,0.28517840631005215,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
1500045,2015,2016-06-02,Bolton,114 BRANDY ST,219400.0,250000.0,0.8776,2016,6,12.429220196836383,0.08676523557476842,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
18314,2018,2019-02-07,East Hartford,138-142 WOODLAWN CIR,98450.0,140000.0,0.7032,2019,2,11.849404844423074,-0.5453825824573022,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
110280,2011,2012-06-20,Westport,4 KELLER LN,317600.0,462500.0,0.686702703,2012,6,13.044403998094442,0.7574737568916498,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
40144,2004,2005-01-19,Waterford,64 SCOTCH CAP RD 102,108490.0,264792.0,0.409717816,2005,1,12.48670366765026,0.14943699908819885,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
60130,2006,2007-02-27,Stonington,17 LATHROP AVE,98400.0,187000.0,0.526203209,2007,2,12.138869243416007,-0.22979195958101947,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
70639,2007,2008-08-20,Southington,NEWELL ST,828870.0,1150000.0,0.720756522,2008,8,13.95527336990427,1.7505555776906556,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
40948,2004,2005-02-01,Waterbury,28 OAKLAND AVE,62930.0,143500.0,0.438536585,2005,2,11.874097282798646,-0.5184614756324477,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
14181,2014,2015-07-01,Montville,529 CHESTERFIELD RD,114300.0,155000.0,0.737419355,2015,7,11.951186847493474,-0.43441402860979544,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
10277,2001,2001-12-21,West Haven,143 JONES ST,61110.0,112000.0,0.545625,2001,12,11.626263078808801,-0.7886644818719549,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
150011,2015,2015-10-05,Cromwell,27 FAWN RUN,381910.0,150000.0,2.546066667,2015,10,11.918397239722838,-0.47016313204429705,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
120190,2012,2013-03-14,Norwich,36 BROOKSIDE DR,256000.0,245000.0,1.044897959,2013,3,12.409017571151187,0.06473917901683268,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
